game_time,game_resultWed Nov 13 22:12:30 2019,Result.Defeat
Wed Nov 13 22:14:54 2019,Result.Defeat
Wed Nov 13 22:17:12 2019,Result.Defeat
Wed Nov 13 22:22:20 2019,Result.Defeat
Wed Nov 13 22:24:40 2019,Result.Defeat
Wed Nov 13 22:26:51 2019,Result.Defeat
Wed Nov 13 22:29:21 2019,Result.Defeat
Wed Nov 13 22:31:32 2019,Result.Defeat
Wed Nov 13 22:35:19 2019,Result.Defeat
Wed Nov 13 22:37:19 2019,Result.Defeat
Wed Nov 13 22:39:22 2019,Result.Defeat
Wed Nov 13 22:42:02 2019,Result.Defeat
Wed Nov 13 22:44:55 2019,Result.Defeat
Wed Nov 13 22:47:25 2019,Result.Defeat
Wed Nov 13 22:50:33 2019,Result.Defeat
Wed Nov 13 22:52:47 2019,Result.Defeat
Wed Nov 13 22:55:20 2019,Result.Defeat
Wed Nov 13 22:57:21 2019,Result.Defeat
Wed Nov 13 22:59:13 2019,Result.Defeat
Wed Nov 13 23:00:56 2019,Result.Defeat
Wed Nov 13 23:03:43 2019,Result.Defeat
Wed Nov 13 23:06:17 2019,Result.Defeat
Wed Nov 13 23:08:38 2019,Result.Defeat
